time,seconds_elapsed,z,y,x
1772788667057301800,0.0703017578125,-0.03954641296863556,-0.04106686400156468,0.054123402516730125
1772788667067366700,0.08036669921875,-0.08452420333623886,-0.06231595172472298,0.07403850168976932
1772788667077432600,0.0904326171875,-0.12826456086337565,-0.06666143358312547,0.06721629098691045
1772788667087497700,0.100497802734375,-0.15397241809368134,-0.03412022320143878,0.07307783996406943
1772788667097563000,0.11056298828125,-0.1444236685037613,-0.022115531826764345,0.052359169323183595
1772788667107627500,0.12062744140625,-0.08368366085886955,-0.024604389500431714,0.013148856441117822
1772788667117692700,0.130692626953125,-0.03871814545094967,0.015494213990867136,-0.003760521577298641
1772788667127757800,0.1407578125,-0.07190379121601581,0.030484789308533072,-0.02360346882957965
1772788667137822700,0.15082275390625,-0.1146907935410738,0.027518121522665022,-0.048603798845037814
1772788667147887600,0.1608876953125,-0.1495376505166292,0.04315853905119001,-0.04469846196956932
1772788667157953800,0.170953857421875,-0.1330816057562828,0.012165471426956355,-0.032460875154472886
1772788667168019000,0.18101904296875,-0.13895780431330204,0.01274959145784378,-0.03737780022528022
1772788667178083600,0.19108349609375,-0.1399438927412033,0.027909276264719663,-0.039405360530130565
1772788667188148700,0.201148681640625,-0.14480769938528537,0.03066259356085211,-0.025733795389160513
1772788667198214000,0.2112138671875,-0.14190613272488117,0.004956307233124971,-0.02488547146413475
1772788667208278800,0.22127880859375,-0.15261632730960845,0.016440993321686984,-0.021719006789848207
1772788667218343700,0.23134375,-0.13846154522895812,0.021907588164508343,0.0057983840804547064
1772788667228408800,0.241408935546875,-0.06670329996347427,0.0036728432938456534,0.0019704598227515816
1772788667238474500,0.251474609375,-0.033575521865487096,-0.000339205359108746,0.0023571210527792573
1772788667248539600,0.26153955078125,-0.039649873343110084,-0.02729187501873821,0.012928710884414612
1772788667258604800,0.271604736328125,-0.04407236596047878,-0.06118877432569861,0.038822044216841455
1772788667268669700,0.281669677734375,-0.05942658695876598,-0.06821626180969179,0.05164371453020721
1772788667278734600,0.291734619140625,-0.10186579875946045,-0.05140022463053465,0.0543034717913717
1772788667288799700,0.3017998046875,-0.11705927623808383,-0.05485537005309015,0.041369390612095595
1772788667298864600,0.31186474609375,-0.13629238449633121,-0.06258782746866345,0.01903426121789962
1772788667308929800,0.3219296875,-0.14908289248645304,-0.0344633010180667,0.00979918068703264
1772788667318995700,0.33199560546875,-0.11745558207929134,-0.005541961633972824,0.003710873749293387
1772788667329060900,0.342060791015625,-0.09617956981658934,0.035650866834819314,-0.022517134897597133
1772788667339125800,0.352125732421875,-0.08497662327885627,0.03625584699064493,-0.03677128569949418
1772788667349190700,0.362190673828125,-0.08505261112451552,0.01847191462740302,-0.02595167592354119
1772788667359255800,0.372255859375,-0.10534428852498531,0.005577288675680756,-0.012413637501746415
1772788667369320700,0.38232080078125,-0.14867255811989308,0.01911667880434543,-0.016543357717618345
1772788667379385600,0.392385498046875,-0.16877368138432502,0.02952021859269589,-0.016094408373720944
1772788667389450800,0.40245068359375,-0.14877777206003664,0.01304601712115109,-0.009717164959385991
1772788667399517000,0.412516845703125,-0.1510848799586296,0.024317206589505074,-0.007198167875781655
1772788667409581600,0.42258154296875,-0.1321492933422327,0.036635019033961,0.014314210426062344
1772788667419646700,0.432646728515625,-0.12833294992446898,-0.003312375950999558,0.04532689606621861
1772788667429712000,0.4427119140625,-0.10818798751831055,-0.03526256163697689,0.06521609361302107
1772788667439776800,0.45277685546875,-0.068104398933053,-0.06645787383504212,0.06812135006785393
1772788667449841700,0.462841552734375,-0.05119593423008918,-0.046237435039877886,0.08059716608561575
1772788667459906800,0.47290673828125,-0.04979308169484138,-0.018358809641748665,0.09503781590294093
1772788667469971700,0.4829716796875,-0.03413958548903465,-0.008351941020786761,0.07477171133514493
1772788667480037600,0.49303759765625,-0.06485621079206466,-0.003258782600238919,0.05943776593990623
1772788667490102800,0.503102783203125,-0.11616788035631179,-0.002004837016388774,0.059100277613848444
1772788667500167700,0.513167724609375,-0.1292559099882841,-0.010237097180262207,0.03535418544318527
1772788667510232600,0.523232666015625,-0.05670388399660587,0.002578874044679105,-0.0011647329304367304
1772788667520297700,0.533297607421875,-0.013488427126407623,0.009546886426396667,-0.021797150059975682
1772788667530362600,0.543362548828125,-0.016536124259233474,0.0212524852566421,-0.04777410655524581
1772788667540427800,0.553427734375,-0.0748369220584631,0.022673896361887453,-0.04565638374891132
1772788667550492700,0.56349267578125,-0.21928806309103965,0.029783143845200536,-0.015600743105262518
1772788667560558800,0.573558837890625,-0.2154652899324894,0.0077488240284845225,-0.04572930285464972
1772788667570623700,0.583623779296875,-0.15986206065416336,-0.06328841348607092,-0.04129902878962457
1772788667580688600,0.593688720703125,-0.2641284908145666,-0.020372597149573266,-0.015679105571098625
1772788667590753800,0.60375390625,-0.25421032339036465,0.002793941567465663,-0.0365614423410967
1772788667600818700,0.613818603515625,-0.17450258042514324,-0.02896631103698164,-0.02735452845878899
1772788667610883800,0.6238837890625,-0.17207038484215736,-0.011893705280870198,-0.017075053441524504
1772788667620948700,0.63394873046875,-0.11361176613271236,0.006374138141795992,-0.0347130745280534
1772788667631013600,0.644013671875,-0.05962357083559036,-0.00904375920984894,-0.04959986067768186
1772788667641079600,0.65407958984375,-0.09351005834639071,0.006217632405832409,-0.04493420695420354
1772788667651144700,0.664144775390625,-0.06555529897212982,0.012275799933634698,-0.03045359045267105
1772788667661209900,0.6742099609375,-0.05680675984919071,0.01275547320935875,-0.014392317163571715
1772788667671274800,0.684274658203125,-0.044321372285485265,0.007996917038038372,0.009444229769520461
1772788667681339600,0.694339599609375,-0.010385200414061546,-0.008950820229388774,0.0038331849547103046
1772788667691404800,0.70440478515625,-0.02892681927680969,-0.032170331242680546,0.02217760074492544
1772788667701469700,0.7144697265625,-0.08124562005698681,-0.04945223236791789,0.051302061485685405
1772788667711534800,0.724534912109375,-0.1701075603365898,-0.032499891990609465,0.08535184979941696
1772788667721600800,0.734600830078125,-0.5526806442677974,0.03686714728940278,0.19023093196544796
1772788667731665700,0.744665771484375,0.0772241094559431,-0.14798245696388185,0.03201926886681467
1772788667741730800,0.754730712890625,0.21693945413827895,-0.017858349306322633,-0.01823474487066269
1772788667751795700,0.764795654296875,-0.2305523844271898,0.15151410168875007,0.08469250910785049
1772788667761860600,0.774860595703125,-0.18474924915134905,0.08416892362516373,0.022297610395401714
1772788667771925800,0.78492578125,-0.024321955829858778,0.08821366897132248,-0.013603614471293985
1772788667781990700,0.79499072265625,-0.12935703227519987,0.07853687255494296,-0.018401662402786314
1772788667792055600,0.8050556640625,-0.1500309869915247,0.06428016446977854,-0.02426364977136254
1772788667802121700,0.815121826171875,-0.1390717860817909,0.028249394939281046,-0.029176848515123126
1772788667812186600,0.8251865234375,-0.16567629989087582,-0.0318736133184284,-0.016560856841690837
1772788667822251800,0.835251708984375,-0.21266659912467,-0.06047993193659931,0.015817235400155186
1772788667832316700,0.845316650390625,-0.19204408233463763,-0.050299533379636704,0.01412698075827211
1772788667842381800,0.8553818359375,-0.11348492488265037,-0.026966771250218152,0.0024670477006584405
1772788667852446700,0.86544677734375,-0.0712374362617731,-0.012421601612493395,-0.005469736647978425
1772788667862511600,0.87551171875,-0.04188683861494064,0.004291194387897849,-0.0011611892664805054
1772788667872576800,0.88557666015625,-0.032256255960464476,0.012633417732268571,-0.019504289882443845
1772788667882642700,0.895642578125,-0.08884265105724334,0.02240706211924553,-0.02517035282012075
1772788667892707800,0.905707763671875,-0.12692366764843463,0.016822174658998847,-0.012297317645698785
1772788667902772700,0.915772705078125,-0.0633428836196661,0.026635201208293435,-0.01485715819634497
1772788667912837600,0.925837646484375,-0.058381461820006364,-0.007226517187431454,0.006465579284913837
1772788667922902800,0.93590283203125,-0.09107494015395641,-0.030301249435171485,0.007895575555413962
1772788667932967700,0.9459677734375,-0.07150280919969082,-0.09581986965872347,0.07811404403299092
1772788667943032800,0.95603271484375,-0.06472703145444393,-0.08784355701729654,0.041214346180856225
1772788667953097700,0.96609765625,-0.2841232310950756,0.06415741487294435,0.06406619292553514
1772788667963163600,0.97616357421875,-0.11375555851757525,0.016302753894776104,0.005194646033644676
1772788667973228800,0.986228759765625,0.06770984665751457,0.029098595647141335,-0.024471885694563388
1772788667983293700,0.996293701171875,-0.005772738182544708,0.06628536681234837,-0.028777510466612873
1772788667993358600,1.006358642578125,-0.14705986222624778,0.060002267954871055,-0.02783032927699387
1772788668003423700,1.016423828125,-0.13900515058636664,0.013370499835163354,-0.0016457213804125786
1772788668013488400,1.02648828125,-0.10410101046562194,0.011238017851114272,-0.022000362748187036
1772788668023553300,1.03655322265625,-0.09743687640130519,0.04572948551774025,-0.031148020723927763
1772788668033618400,1.046618408203125,-0.08862579343616962,-0.03230696323439479,0.034393158391304315
1772788668043684400,1.056684326171875,-0.15918752239346504,-0.044485330675542355,0.045078145469538866
1772788668053749200,1.066749267578125,-0.18170681271553038,-0.058210050775855775,0.06858929637316614
1772788668063814400,1.076814453125,-0.15717501352727412,-0.03741166596226394,0.05013365702712908
1772788668073879300,1.08687939453125,-0.12974690837562083,0.003532996431738138,0.04064209925085306
1772788668083944400,1.0969443359375,-0.08929565552175045,-0.011109715296328067,0.024042791828606275
1772788668094009300,1.10700927734375,-0.0675432579189539,-0.0136773007620126,0.007425400760397315
1772788668104074200,1.11707421875,0.07955226014256477,-0.022375863263383505,-0.03920852278377861
1772788668114140200,1.12714013671875,-0.0013140052080154417,0.019073387651890514,-0.011984233108535408
1772788668124205300,1.137205322265625,-0.12997253382503984,-0.04246113137155771,0.04887156466944143
1772788668134270500,1.1472705078125,-0.12615560588538646,-0.06901544936336576,0.0068062459487468
1772788668144335400,1.15733544921875,-0.12174538822770117,-0.03155409904047846,0.020401476184185592
1772788668154400300,1.167400146484375,-0.11436755293607712,-0.06124912621080875,0.041868042582925404
1772788668164465400,1.17746533203125,-0.1887163992166519,-0.08168561890944838,0.043848585408274084
1772788668174530300,1.1875302734375,-0.13572773635089397,0.015735621531307697,0.029861232316400855
1772788668184595500,1.197595458984375,-0.056689270949363706,0.0644743718676269,-0.008575191850028932
1772788668194661400,1.207661376953125,-0.123217214345932,0.044661417894810436,-0.031517164563573896
1772788668204726500,1.2177265625,-0.12138123109042644,0.038945159139856696,-0.04402644445952028
1772788668214791400,1.22779150390625,-0.06299509309530257,0.024925182420015332,-0.04942724405713379
1772788668224856300,1.237856201171875,-0.05438157852888107,-0.00423361898176372,-0.013079828059207647
1772788668234921500,1.24792138671875,-0.05052022692561149,-0.04923011404983699,0.009284582228399813
1772788668244986400,1.257986328125,-0.06399930170178413,-0.05420907150618732,0.016988197141978887
1772788668255051300,1.26805126953125,-0.0446814377695322,-0.035227380725741386,-0.00855776579119265
1772788668265116400,1.278116455078125,-0.041381227180361746,0.0010556465327739716,-0.012275927797798066
1772788668275182300,1.288182373046875,-0.09581599720120429,0.008993892186135053,0.002760897814389318
1772788668285247200,1.298247314453125,-0.10848375559449196,-0.008192658805847167,0.007500621421076357
1772788668295312400,1.3083125,-0.11605682119727134,-0.029884850654006003,0.016489709567930548
1772788668305377300,1.318377197265625,-0.14265081361234186,-0.025530600967258215,0.017534597244672476
1772788668315442400,1.3284423828125,-0.15725684659183026,-0.028709742460027336,0.025958744985144583
1772788668325507300,1.33850732421875,-0.12471125229597091,-0.04162643411308527,0.03152532960372045
1772788668335572200,1.348572265625,-0.1449585060328245,-0.03410670613273978,0.01623608186673373
1772788668345638400,1.358638427734375,-0.15097849697470664,-0.010848653207346796,-0.007532587461918592
1772788668355703300,1.368703369140625,-0.11391980916857719,0.004089534335955977,-0.0059372993608005345
1772788668365768400,1.3787685546875,-0.08503332190215587,0.004250277855619788,-0.024313224534131584
1772788668375833300,1.388833251953125,-0.11922025366425514,0.010613821538165211,-0.018723880094476043
1772788668385898200,1.398898193359375,-0.14145838895738125,-0.00428505690805614,-0.016038276006001977
1772788668395963400,1.40896337890625,-0.1391512810587883,-0.019665654456615448,-0.010991039086412639
1772788668406028300,1.4190283203125,-0.08791267673075198,-0.021305311422422528,-0.01556302317706868
1772788668416093400,1.429093505859375,-0.10725918223559856,0.00838467424660921,-0.024369393434468655
1772788668426159400,1.439159423828125,-0.07674772411584854,-0.009204977653548121,-0.03552000699676573
1772788668436224500,1.449224609375,-0.034116204613447186,-0.02249788220785558,-0.02893012547874823
1772788668446289400,1.459289306640625,-0.058518824464082714,-0.013343173436820507,-0.027561266544647512
1772788668456354300,1.469354248046875,-0.07927987294197082,0.019139292494952678,-0.021510569937247783
1772788668466419500,1.47941943359375,-0.1245633682578802,0.03399177451618016,-0.02992074395129457
1772788668476484400,1.489484375,-0.09590192191898822,0.014012524065747857,-0.038163434177637096
1772788668486549500,1.499549560546875,-0.07949731508493423,0.002486190792545676,-0.005205788482166827
1772788668496615400,1.509615478515625,-0.09915537075698375,-0.022074761424958705,-0.013704243567865341
1772788668506680300,1.519680419921875,-0.13409925836622713,0.004192702449485659,0.01634889459144324
1772788668516745200,1.5297451171875,-0.14032617005705833,-0.013843597239628433,0.03125758204562589
1772788668526810400,1.539810302734375,-0.09766600898206233,-0.014143968425691126,0.009511979509796946
1772788668536875300,1.549875244140625,-0.09110884242355823,0.023053981720656154,-0.00860677429838106
1772788668546940400,1.5599404296875,-0.12496551931798458,0.021532325111329555,-0.007568206764571368
1772788668557005300,1.57000537109375,-0.10423428145647048,-0.030400618156418202,-0.01134851075457409
1772788668567071500,1.580071533203125,-0.08296879058778285,-0.04939955233260989,0.00735346803534776
1772788668577136400,1.590136474609375,-0.118424134850502,-0.04080021242201328,0.03272862271256745
1772788668587201300,1.600201171875,-0.12585106998085974,-0.027110271374136206,0.04277560414820909
1772788668597266400,1.610266357421875,-0.09165946204364299,-0.025151173195615408,0.04463283112114295
1772788668607331300,1.620331298828125,-0.11036007086038589,0.001140913663432002,0.04807480653487146
1772788668617396500,1.630396484375,-0.10757599309980868,0.0016440408799797295,0.046257235718891024
1772788668627461400,1.64046142578125,-0.08203589365184306,0.026952888855338097,0.0043022455048747354
1772788668637527300,1.65052734375,-0.09168751909434796,0.015838570449128744,0.0022110271129757164
1772788668647592200,1.66059228515625,-0.1417564951211214,-0.014513824651390313,0.01371659159278497
1772788668657657300,1.6706572265625,-0.12016834816932677,-0.03235131383277476,0.011384385785553603
1772788668667722200,1.68072216796875,-0.10565759225785731,-0.01942892309129238,0.004899572077207267
1772788668677787400,1.690787353515625,-0.10002747741639613,0.004865121818333864,0.0020867248798720536
1772788668687852300,1.700852294921875,-0.1169996550053358,0.019661197477206585,0.005846095679700374
1772788668697917400,1.71091748046875,-0.11677227599024773,0.012236162042990327,0.00759825484296307
1772788668707983400,1.7209833984375,-0.11623685393929481,-0.004339271313324571,0.020925152998417615
1772788668718048300,1.73104833984375,-0.10972937174141406,-0.004505713921412825,0.0066818341177888214
1772788668728113400,1.741113525390625,-0.09366378760337829,-0.005760390157625079,-0.007180504354927689
1772788668738178300,1.75117822265625,-0.10933014329075813,0.00022401801422238348,-0.0038011641149409115
1772788668748243500,1.761243408203125,-0.09936346054971218,-0.010532280734553933,-0.008595467453077436
1772788668758308400,1.771308349609375,-0.08633329858481884,-0.00485942272990942,-0.007176412701699882
1772788668768373200,1.781373291015625,-0.04320551999807357,-0.012290011122077702,0.00135578025681898
1772788668778439200,1.791439208984375,-0.05362520720362663,-0.008987681641057134,-0.019836298315785823
1772788668788504300,1.80150439453125,-0.07077624849081039,0.0029703210476785895,-0.007848704206384718
1772788668798569500,1.811569580078125,-0.09974515334367752,-0.002693549932911992,0.01658626527758315
1772788668808634400,1.82163427734375,-0.11930091768503188,-0.010418664292246103,0.010152560701966285
1772788668818699300,1.83169921875,-0.1409592072635889,-0.027508330781012773,0.026409173900075255
1772788668828764400,1.841764404296875,-0.16055062744021414,-0.04402268159985542,0.029996238606609403
1772788668838829300,1.851829345703125,-0.14740122300982475,-0.017105813905969262,0.017747728538699447
1772788668848895200,1.861895263671875,-0.12378653866648673,-0.004684796815365553,0.01606130982171744
1772788668858960400,1.87196044921875,-0.09102934744656085,0.029098814842849968,0.008642722394596784
1772788668869025300,1.882025390625,-0.040457682594656943,0.060930927107110615,-0.0067140010880306356
1772788668879090400,1.89209033203125,-0.08011457020044327,0.02610642809383571,-0.008275405185855924
1772788668889155300,1.9021552734375,-0.09398118298947811,0.006410889955610037,0.00612893120907247
1772788668899220200,1.91222021484375,-0.08762275387346743,0.0037874826494604347,0.0038685119964182377
1772788668909285400,1.922285400390625,-0.11106032808423041,0.01235803485698998,-0.0036318536963313814
1772788668919351300,1.932351318359375,-0.11776479415893554,-0.0050425242118537425,0.009595292145386338
1772788668929416400,1.94241650390625,-0.13164660451710222,-0.010331716661155224,0.017356208470463753
1772788668939481300,1.9524814453125,-0.10809504853785037,-0.02568922559507191,0.008578698981367051
1772788668949546200,1.962546142578125,-0.08754033628702163,-0.024123510648310184,0.004223755174875259
1772788668959611400,1.972611328125,-0.07942717245817184,-0.008048501094803213,0.0013074293367564677
1772788668969676300,1.98267626953125,-0.07672551228404044,0.008733049292862415,-0.01082673363648355
1772788668979742200,1.9927421875,-0.07069207733869552,0.005067877848818898,-0.0068752560643479226
1772788668989807400,2.002807373046875,-0.05072773219645023,-0.005114931860938668,-0.010316957483440636
1772788668999872500,2.01287255859375,-0.06296002178192138,-0.0029752894837409257,-0.011744980992563069
1772788669009937400,2.0229375,-0.07443827812969685,0.004849193596839905,-0.01330857704747468
1772788669020006000,2.033005859375,-0.12555880903601646,0.016101313038542866,-0.0004706131864339113
1772788669030070800,2.04307080078125,-0.15629823069274423,0.0065201955489814275,0.012065189390257
1772788669040136000,2.053135986328125,-0.14197569082975386,-0.015753084122762082,0.03685527418851852
1772788669050201900,2.063201904296875,-0.15037760847210882,-0.042255233535915614,0.03121346890926361
1772788669060267000,2.07326708984375,-0.15594401042759418,-0.013575520887970923,0.023664112975634633
1772788669070332000,2.083331787109375,-0.11713409503996372,0.007598273109272122,0.017958960136584937
1772788669080396800,2.093396728515625,-0.11759060663580893,0.001663330102339387,0.01769183363299817
1772788669090462000,2.1034619140625,-0.101031101500988,0.003987535266205668,0.02004906428363174
1772788669100526800,2.11352685546875,-0.10407470698058605,0.01106828730739653,0.015889862244948743
1772788669110592800,2.1235927734375,-0.13523206178843974,0.0012490502130240201,0.027891886738501487
1772788669120658000,2.133657958984375,-0.15345979239642618,-0.009934460971876979,0.02479772011544555
