time,seconds_elapsed,z,y,x
1772797410499652400,0.08265234375,-0.8297119140625,-0.043548583984375,-0.166107177734375
1772797410509678300,0.09267822265625,-0.84735107421875,-0.0631866455078125,-0.1701202392578125
1772797410519704300,0.102704345703125,-0.85198974609375,-0.0584869384765625,-0.1604156494140625
1772797410529730600,0.11273046875,-0.8447723388671875,-0.0456390380859375,-0.1510467529296875
1772797410539756500,0.122756591796875,-0.879058837890625,-0.045318603515625,-0.1322174072265625
1772797410549783600,0.132783447265625,-0.921539306640625,-0.0406341552734375,-0.1217193603515625
1772797410559809500,0.1428095703125,-0.9654693603515625,-0.0348358154296875,-0.120330810546875
1772797410569835500,0.15283544921875,-1.0085601806640625,-0.0321502685546875,-0.112701416015625
1772797410579861500,0.162861572265625,-1.04547119140625,-0.0273895263671875,-0.09637451171875
1772797410589887500,0.172887451171875,-1.0589599609375,-0.02679443359375,-0.0926666259765625
1772797410599913500,0.18291357421875,-1.0442352294921875,-0.0269622802734375,-0.0913543701171875
1772797410609939500,0.192939453125,-1.0262908935546875,-0.0324249267578125,-0.0786895751953125
1772797410619965400,0.20296533203125,-1.033477783203125,-0.0340728759765625,-0.06982421875
1772797410629991400,0.212991455078125,-1.050750732421875,-0.0345916748046875,-0.0712890625
1772797410640017400,0.223017333984375,-1.0738525390625,-0.035308837890625,-0.070098876953125
1772797410650044400,0.23304443359375,-1.0885772705078125,-0.0338897705078125,-0.0734100341796875
1772797410660070400,0.2430703125,-1.09979248046875,-0.0301666259765625,-0.077789306640625
1772797410670096400,0.253096435546875,-1.107818603515625,-0.0255279541015625,-0.0853729248046875
1772797410680122400,0.263122314453125,-1.11102294921875,-0.0261383056640625,-0.0923309326171875
1772797410690148400,0.2731484375,-1.129486083984375,-0.029144287109375,-0.0916748046875
1772797410700174600,0.283174560546875,-1.1548919677734375,-0.0253753662109375,-0.0841217041015625
1772797410710200600,0.29320068359375,-1.1782073974609375,-0.0170135498046875,-0.079833984375
