time,seconds_elapsed,z,y,x
1772788751191516400,0.067516357421875,-1.0146636962890625,-0.039581298828125,0.02423095703125
1772788751201581600,0.07758154296875,-1.00933837890625,-0.03875732421875,0.0247955322265625
1772788751211647200,0.087647216796875,-1.0018768310546875,-0.036712646484375,0.0247955322265625
1772788751221712400,0.09771240234375,-0.99920654296875,-0.0369110107421875,0.0253143310546875
1772788751231778300,0.1077783203125,-0.99957275390625,-0.0366363525390625,0.0247955322265625
1772788751241843500,0.117843505859375,-1.0013427734375,-0.037322998046875,0.02410888671875
1772788751251909400,0.127909423828125,-1.0055999755859375,-0.0410308837890625,0.0240325927734375
1772788751261974300,0.137974365234375,-1.005828857421875,-0.039886474609375,0.0240478515625
1772788751272040400,0.14804052734375,-1.00457763671875,-0.0369873046875,0.0249176025390625
1772788751282106400,0.1581064453125,-1.006561279296875,-0.037689208984375,0.02203369140625
1772788751292171500,0.168171630859375,-1.0140228271484375,-0.042083740234375,0.0228729248046875
1772788751302237200,0.1782373046875,-1.0160980224609375,-0.0413055419921875,0.0248870849609375
1772788751312302300,0.18830224609375,-1.011993408203125,-0.036041259765625,0.0250396728515625
1772788751322368300,0.1983681640625,-1.01263427734375,-0.034210205078125,0.0251617431640625
1772788751332433400,0.208433349609375,-1.0161285400390625,-0.03717041015625,0.025115966796875
1772788751342499300,0.218499267578125,-1.0157470703125,-0.0395355224609375,0.0248870849609375
1772788751352565200,0.228565185546875,-1.0122222900390625,-0.03851318359375,0.024566650390625
1772788751362630400,0.23863037109375,-1.0135345458984375,-0.0361328125,0.0240020751953125
1772788751372696300,0.2486962890625,-1.01165771484375,-0.0370330810546875,0.025787353515625
1772788751382761500,0.258761474609375,-1.0075836181640625,-0.038116455078125,0.0253143310546875
1772788751392827400,0.268827392578125,-1.0078125,-0.0394439697265625,0.0235595703125
1772788751402892300,0.278892333984375,-1.01031494140625,-0.0400543212890625,0.023468017578125
1772788751412958500,0.28895849609375,-1.00994873046875,-0.0379791259765625,0.0244140625
1772788751423023400,0.2990234375,-1.0037078857421875,-0.038360595703125,0.022308349609375
1772788751433089300,0.30908935546875,-0.999969482421875,-0.03912353515625,0.02001953125
